epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.92929,1.86992,3.81218,2.40093,0.00333,1,0.04317,0.01128,2.20267,3.66662,2.79443,2e-05,2e-05,2e-05
2,18.145,1.87386,3.43141,1.9108,0.00333,1,0.07779,0.0227,2.05188,3.57205,2.66994,5.9208e-05,5.9208e-05,5.9208e-05
3,26.2442,1.76949,3.67785,1.88464,0.00333,1,0.15303,0.06435,1.89011,3.41171,2.59435,9.736e-05,9.736e-05,9.736e-05
4,34.2957,1.62278,3.52833,1.61581,0.00333,1,0.60266,0.21077,1.54297,3.20782,2.3689,0.000134456,0.000134456,0.000134456
5,42.6341,1.11858,2.6294,1.4645,0.00333,1,0.56467,0.24158,1.48106,3.26117,2.38775,0.000170496,0.000170496,0.000170496
6,50.7974,1.35017,2.74308,1.48532,0.00333,1,0.73193,0.26912,1.49622,3.25555,2.66978,0.00020548,0.00020548,0.00020548
7,59.0433,1.743,2.26151,2.26837,0.00333,1,0.995,0.4228,1.61212,3.13179,2.56798,0.000239408,0.000239408,0.000239408
8,67.3414,1.80709,2.75098,2.30658,0.00333,1,0.77624,0.4002,1.59267,2.96762,2.09579,0.00027228,0.00027228,0.00027228
9,75.6354,1.23407,1.5187,1.39997,0.00333,1,0.71564,0.32741,1.64622,2.98454,2.03812,0.000304096,0.000304096,0.000304096
10,83.9666,2.0124,2.78381,2.24027,0.00333,1,0.86061,0.34761,1.6249,2.93379,2.11613,0.000334856,0.000334856,0.000334856
11,92.2228,1.6086,1.84923,1.78444,0.00333,1,0.78493,0.37642,1.57947,2.91087,2.15823,0.00036456,0.00036456,0.00036456
12,100.43,1.76304,2.10607,1.82229,0.00333,1,0.995,0.38869,1.56947,2.99114,2.24532,0.000393208,0.000393208,0.000393208
13,108.455,1.43592,1.76059,1.686,0.00333,1,0.995,0.42501,1.56434,2.9053,2.25394,0.0004208,0.0004208,0.0004208
14,116.671,1.20625,2.05413,1.64183,0.00333,1,0.995,0.48031,1.64968,2.79943,2.30797,0.000447336,0.000447336,0.000447336
15,125.08,1.6289,3.00687,1.79746,0.00333,1,0.995,0.40066,1.73659,2.81265,2.54853,0.000472816,0.000472816,0.000472816
16,132.803,1.09973,1.72467,1.23791,0.00333,1,0.82563,0.33872,1.73876,2.92158,2.5733,0.00049724,0.00049724,0.00049724
17,140.975,1.024,1.41708,1.21936,0.01116,1,0.83246,0.36764,1.74336,2.91561,2.58547,0.000520608,0.000520608,0.000520608
18,148.963,1.2646,1.76558,2.34651,1,0.8589,0.995,0.38506,1.78007,2.76007,2.70376,0.00054292,0.00054292,0.00054292
19,156.963,1.04696,1.55658,1.10468,0.96451,1,0.995,0.40517,1.89182,2.61438,3.00417,0.000564176,0.000564176,0.000564176
20,165.081,0.79595,1.77678,1.04339,1,0.90577,0.995,0.45114,1.85985,2.52064,2.87462,0.000584376,0.000584376,0.000584376
21,173.379,0.93884,1.6219,1.23148,0.78157,1,0.995,0.43018,1.72037,2.7291,2.4429,0.00060352,0.00060352,0.00060352
22,181.529,1.59821,3.13089,1.6995,0.71983,1,0.96192,0.40589,1.82189,2.8064,2.61422,0.000621608,0.000621608,0.000621608
23,189.702,1.2404,1.58059,1.24798,1,0.73665,0.995,0.45654,1.75064,2.71001,2.56772,0.00063864,0.00063864,0.00063864
24,197.72,1.76884,1.96152,2.57145,1,0.88603,0.995,0.43789,1.68304,2.37501,2.67354,0.000654616,0.000654616,0.000654616
